seed,status,all_count,new_count,all_size,new_size
https://www.nyu.edu/about/university-initiatives/nyu-celebrates-stonewall-at-50.html,Crawled,337722,327148,36628433400,32908882043
https://www.thedailybeast.com/keyword/stonewall50/,Crawled,57716,35130,16988989115,11363133219
https://blog.aarp.org/aarp-celebrates-stonewall-50th-anniversary-during-lgbt-pride-month,Crawled,21812,16298,9208611696,5387448770
https://en.wikipedia.org/wiki/Stonewall_50_%E2%80%93_WorldPride_NYC_2019,Crawled,48710,22063,8785694017,5371398721
https://www.symphonyspace.org/stonewall-at-50/,Crawled,56572,37558,8495814021,7697448529
https://www.vogue.com/article/stonewall-inn-50th-anniversary-interview/,Redirected,38640,21507,8292978556,5368826913
https://2019-worldpride-stonewall50.nycpride.org/,Crawled,9947,2106,3604739171,617119262
https://www.stonewallchorale.org/,Crawled,30570,29695,3005801507,2982937896
https://www.nationalqueertheater.org/criminalqueernessfestival/,Crawled,30185,30053,2893637545,2893092092
http://www.savethevillagetours.com/tours#stonewall,Crawled,28625,27315,2566759504,2417101861
https://www.google.com/search?hl=en&authuser=0&tbm=isch&source=hp&biw=1536&bih=819&ei=wsQHXdWoM7CHggeR4raQCg&q=stonewall+50&oq=stonewall+50&gs_l=img.3..0l10.3113.5448..7160...0.0..0.306.2561.0j11j1j1......0....1..gws-wiz-img.....0.j9gY4_OosgE,Crawled,7379,6313,2287524832,2232538002
https://www.atlanta.net/events/detail/stonewall-50-exhibit-at-atlanta-city-hall/122642/,Crawled,25569,25478,2001834734,1980320047
https://stonewallinitiative.org/,Crawled,21655,17290,1879040199,1689485280
https://www.columbia.edu/content/events/stonewall-50-defining-lgbtq-site-preservation/,Crawled,15546,159,1831517802,6458870
https://warwick.ac.uk/services/equalops/sexualorientationgenderidentity/stonewall50/,Crawled,34167,32179,1579407366,812339491
https://www.iloveny.com/thebeat/post/new-york-state-celebrates-stonewall-50-and-worldpride-2019-this-summer/,Crawled,23880,25,1398043420,2511079
https://www.governor.ny.gov/news/governor-cuomo-announces-commemoration-50th-anniversary-stonewall-rebellion-2019/,Redirected,446,310,1348542876,759918409
https://stonewall50consortium.org/,Crawled,17741,7140,1308881193,443612115
http://imfromdriftwood.com/stonewall50/,Crawled,2692,1144,1024754686,42185460
https://www.6sqft.com/50-ways-to-celebrate-stonewall-50-and-pride-month-in-nyc/,Crawled,4713,2704,955007399,348212195
https://www.rattlestick.org/20182019-season/2019/6/20/pride-plays,Crawled,9044,1386,715901496,183075011
https://gilbertbaker.com/,Crawled,2592,1204,569825634,155784003
http://outhistory.org/,Crawled,25688,14863,501085513,330785592
https://www.thirteen.org/blog-post/summer-of-69-timeline/,Crawled,4822,4526,481052979,467372860
http://www.stonewallvets.org/,Crawled,2089,339,445344701,32488670
https://www.uua.org/lgbtq/blog/stonewall50/,Redirected,1234,88,427907756,367054
https://timessquares.nyc/stonewall50/,Crawled,5454,3479,387045558,210803392
https://aliceausten.org/exhibitions,Crawled,7055,4784,330381743,241081851
https://www.nyhistory.org/exhibitions/stonewall-50-new-york-historical-society/,Redirected,2839,681,196947073,65949455
https://www.nycgo.com/maps-guides/gay/world-pride-nyc-2019/,Redirected,3490,2526,179266761,164199915
https://lgbtqcolorado.org/stonewall50/,Crawled,510,91,136369880,6660318
http://www.nycgmc.org/stonewall-50-quiet-no-more/,Crawled,1865,82,131039786,27801121
https://lgbt.ucsf.edu/STONEWALL50/,Crawled,573,338,125269740,18408442
https://queensmuseum.org/events/stonewall-50-celebrating-the-work-of-lgbtq-civil-rights-movements-in-queens/,Redirected,914,749,88434996,69379852
https://www.dioceseny.org/ednyevent/community-pride-event-commemorating-the-50th-anniversary-of-the-stonewall-uprising/,Crawled,348,227,75988573,74013386
https://soundcloud.com/workingclasshistory/stonewall-riots-pride-50th-anniversary-lgbtq-1,Crawled (HTTP error 404),6692,6050,75611222,21575819
https://makinggayhistory.com/podcast/season-5-preview/,Crawled,1575,1159,73602960,67221906
https://reclaimpridenyc.org/,Crawled,262,173,71814458,27544977
https://camh.org/event/stonewall50/,Crawled,229,170,60690910,8171116
https://soundcloud.com/workingclasshistory/stonewall-riots-pride-glf-50-lgbt-2,Crawled,1617,1451,59959841,18227718
https://www.sageusa.org/stonewall-50/,Crawled,247,141,49441997,42521761
https://www.nypl.org/stonewall50/,Crawled,247,177,47124305,21418117
https://divabetic.org/2019/06/12/stonewall-50-on-diabetes-late-nite/,Crawled,307,96,46849316,5532252
https://www.glaad.org/blog/glaad-releases-stonewall-50-guide-journalists/,Crawled,823,686,44480554,34330459
https://kywnewsradio.radio.com/categories/stonewall-50/,Crawled,390,193,42385165,32465133
https://nycopera.com/stonewall/,Crawled,836,53,37625273,14258339
https://stonewallforever.org/,Crawled,607,75,34863008,8506614
https://harpers.org/archive/2019/06/stonewall-at-fifty/,Crawled,565,475,33901555,21245032
https://www.thedailybeast.com/stonewall-50-dont-forget-the-black-and-brown-lgbtq-struggle/,Crawled,309,123,28239077,14000900
https://american.edu/calendar/?id=8293174,Crawled,61,19,27435451,1186151
https://www.storycoursenyc.com/pridetable/,Crawled,591,26,24043753,1461673
https://www.mcny.org/exhibition/pride/,Redirected,778,599,19887307,15349265
https://houmuse.org/explore/events/stonewall-50/,Crawled,144,13,18631910,427600
https://www.thirteen.org/collection/summer-69/,Crawled,452,336,15220363,12950191
https://www.brooklynmuseum.org/exhibitions/stonewall/,Crawled,67,18,15196743,5100840
http://marchtoequality.org/,Crawled,370,92,14586833,1804556
https://denverpride.org/stonewall-50-a-year-long-tribute-to-the-anniversary-of-the-uprising-at-the-stonewall-inn/,Crawled,291,21,14144049,840456
https://ryanhealth.org/press/ryan-health-equality-stonewall-50-launches-to-promote-health-equity-for-lgbtq-communities-of-color/,Crawled,386,89,13494602,2927638
https://www.atlantapride.org/event/stonewall-50-the-legacy-of-a-movement/,Crawled,312,163,11720846,8786839
https://www.stannholytrinity.org/event/spirit-of-stonewall-50-years-on/,Crawled,225,21,11602957,851393
https://jccmanhattan.org/communities/lgbtq/pride.aspx,Crawled,328,251,11588510,5841189
https://whitney.org/events/stonewall50-celebration-with-tiona-nekkia-mcclodden/,Crawled,416,400,11209321,6454674
https://alumni.harvard.edu/events/stonewall-50-and-veritas/,Crawled,124,82,10510434,9579509
https://www.bostonpride.org/stonewall50/,Crawled,264,7,10316706,177110
https://roccitylibrary.org/exhibits/stonewall_at_50/,Crawled,177,127,9983801,8191857
http://hmckc.org/honoring-the-50th-anniversary-of-the-stonewall-uprising/,Crawled,308,11,9091140,14589
http://harveymilkphotocenter.org/exhibits/stonewall-50-years/,Crawled,131,23,8561951,837457
https://www.newseum.org/exhibits/current/rise-up-stonewall-and-the-lgbtq-movement/,Crawled,279,40,8495048,897818
http://lamama.org/stonewall/,Crawled,198,129,8374631,6711986
https://www.npr.org/podcasts/731332085/the-sound-of-pride-stonewall-at-50/,Crawled,126,34,8360446,2449323
https://glogauair.net/activity/stonewall-50-days-of-future-past/,Crawled,146,17,8249498,697803
https://www.nyclgbtsites.org/2019/03/14/stonewall-50-defining-lgbtq-site-preservation-at-columbias-earl-hall/,Crawled,257,26,7768861,726975
https://socialistaction.org/2019/06/10/stonewall-50-reclaiming-pride/,Crawled,166,118,6472569,5029334
https://queerspirit.net/blog/252-stonewall-50-from-riots-to-rites/,Crawled,146,61,5635006,2349704
https://www.gvshp.org/_gvshp/preservation/stonewall/main.htm,Crawled,184,64,5219769,1788953
https://www.proudout.com/po-event/stonewall-50th-anniversary-gala-dinner/,Crawled,432,286,5098567,2491716
https://www.bam.org/everybooty/,Crawled (HTTP error 500),336,32,5028009,177852
https://www.caribbeanequalityproject.org/stonewall-50/,Crawled,35,15,4531819,3027497
https://news.illinois.edu/view/6367/796895/,Crawled,66,19,4389546,1102401
https://www.20summers.org/events/calendar/2019/3/5/stonewall-50/,Crawled,57,27,4300016,2826165
http://lgbtbrooklyn.org/portfolio/parades/,Crawled,22,6,4230000,203281
http://www.nysba.org/Journal/2019/Jun/Stonewall_50/,Crawled,107,16,4190744,821087
https://visualaids.org/events/detail/art-after-stonewall-1969-1989/,Crawled,107,90,4166938,3727751
https://www.mas.org/events/lgbt-historic-sites-in-chelsea-on-the-50th-anniversary-of-the-stonewall-riots/,Crawled,114,15,4139628,1264337
https://glreview.org/glr-25th-anniversary-book/,Crawled,107,17,3745308,382965
https://lgbtfunders.org/ourevents/stonewall-50-lessons-in-unerasing-underrepresented-histories/,Crawled,351,13,3688886,936286
https://www.sohophoto.com/2019/04/08/photography-after-stonewall-show-will-commemorate-the-start-of-the-gay-rights-movement-june-2019/,Crawled,71,22,3639621,666304
http://www.roosevelthouse.hunter.cuny.edu/events/fifty-years-stonewall-now-go/,Crawled,127,45,3620819,1958314
https://www.dupontunderground.org/calendar/2019/6/1/under-uprising-stonewall-50-a3h27-tss2y-sgtwg-2wj4b-7hnlm,Crawled,49,20,3289866,2107518
https://libguides.nypl.org/stonewall50research/,Crawled,378,19,3126272,604760
http://lgbtbrooklyn.org/bklyn-history-series/,Crawled,109,20,3077372,491079
http://stjohnsnyc.org/theatre-at-st-johns-celebrates-stonewall-50/,Crawled,75,19,2914806,352341
https://www.thewadsworth.org/be-seen-portrait-photography-since-stonewall/,Crawled,58,15,2839710,640089
https://newyorklivearts.org/event/live-arts-pride-2019/,Crawled,110,56,2630419,753081
https://www.ithaca.edu/intercom/article.php/20190604163257570#.XQk-YK-WzDA,Crawled,213,166,2562512,1755389
http://here.org/shows/queer-as-i/,Crawled,109,18,2495604,377283
https://brooklynrail.org/2019/06/poetry/MARKED-SAFE-For-Stonewall-50th/,Crawled,41,10,2234240,775553
https://www.thirteen.org/blog-post/celebrating-pride/,Crawled,57,46,2187872,1919243
https://eiic.org/blog/stonewall-50/,Crawled,87,36,1935122,1065485
https://www.purdue.edu/lgbtq/events/stonewall.php,Crawled,64,5,1865778,2542
https://www.thirteen.org/programs/american-experience/american-experience-stonewall-uprising/,Crawled,38,24,1861489,1367968
http://www.brooklyn.cuny.edu/web/academics/centers/wolfe/events/stonewall-50.php,Crawled,93,21,1712474,762301
https://www.oah.org/insights/posts/2019/1/stonewall-at-50/,Crawled,82,9,1669190,133766
https://www.artidea.org/event/2019/3618/,Redirected,82,24,1607750,277793
https://uahs.arizona.edu/event/stonewall-50th-celebration/,Crawled,94,15,1401224,459156
https://greenwichvillage.nyc/events/stonewall-50-queer-life-stonewall-hugh-ryan-and-lisa-e-davis/,Crawled,118,96,1368079,636116
http://metrograph.com/series/series/227/films-of-pride-and-protest-stonewall-at-50/,Crawled,38,8,1180429,639375
http://nyfos.org/stonewall-at-50/,Crawled,54,5,1146363,3342
https://genderjustice.georgetown.edu/announcement/stonewall50/,Redirected,48,16,1132398,272907
https://drexel.edu/pearlsteingallery/exhibitions-events/events/details/?eid=23819&iid=67362,Crawled,38,14,974114,170147
http://queenstheatre.org/stonewall-50-plays/,Crawled,64,24,756717,282009
http://metrograph.com/film/film/2131/films-of-pride-and-protest/,Crawled,11,5,588492,170574
https://www.mcny.org/exhibition/voice-village/,Redirected,8,2,540304,51076
https://www.pridecentervt.org/pride-week-events/event/126934-vt-stonewall-50-celebration/,Crawled,52,18,534350,408924
https://wcbn.org/content/stonewall-50-and-still-we-rise/,Crawled,59,12,388484,146625
https://www.thewadsworth.org/tom-burr-matrix-182/,Crawled,7,3,358979,100637
http://metrograph.com/film/film/2132/in-the-life-stonewall-25/,Crawled,6,2,315195,20732
https://visualaids.org/events/detail/opening-reception-for-stonewall-50-neighborhood-library-programs/,Crawled,5,4,208538,143843
https://lgbt.ucsf.edu/sw50,Crawled,3,3,184348,184348
https://www.leslielohman.org/project/being-seen-makes-a-movement-possible/,Crawled,8,5,7876,5663
https://stonewall50consortium.org/s-50-exhibits/,Not crawled (blocked by robots),0,0,0,0
